Name,Category,Investment Horizon,NAV,Date,NAV_Category
Nippon India Equity Savings Fund - Segregated Portfolio 1 - Growth Plan - Bonus Option,Hybrid Scheme - Equity Savings,Long-Term Schemes,0.2885,"Fri, 25 Oct 2024 00:00:00",Low
Nippon India Equity Savings Fund - Segregated Portfolio 1 - Growth Plan - Growth Option,Hybrid Scheme - Equity Savings,Long-Term Schemes,0.2885,"Fri, 25 Oct 2024 00:00:00",Low
UTI Medium Term Fund ( Segregated - 17022020 ) - Direct Plan - Quarterly IDCW,Debt Scheme - Medium Duration Fund,Short-Term Schemes,0.2867,"Thu, 27 Jan 2022 00:00:00",Low
UTI Medium Term Fund ( Segregated - 17022020 ) - Direct Plan - Flexi IDCW,Debt Scheme - Medium Duration Fund,Short-Term Schemes,0.2864,"Thu, 27 Jan 2022 00:00:00",Low
UTI Medium Term Fund ( Segregated - 17022020 ) - Regular Plan - Annual IDCW,Debt Scheme - Medium Duration Fund,Short-Term Schemes,0.2818,"Thu, 27 Jan 2022 00:00:00",Low
UTI Medium Term Fund ( Segregated - 17022020 ) - Regular Plan - Half-Yearly IDCW,Debt Scheme - Medium Duration Fund,Short-Term Schemes,0.2764,"Thu, 27 Jan 2022 00:00:00",Low
NIPPON INDIA CREDIT RISK FUND - SEGREGATED PORTFOLIO 1 - IDCW Option,Debt Scheme - Credit Risk Fund,Short-Term Schemes,0.2763,"Thu, 27 Jan 2022 00:00:00",Low
UTI Medium Term Fund ( Segregated - 17022020 ) - Regular Plan - Quarterly IDCW,Debt Scheme - Medium Duration Fund,Short-Term Schemes,0.2721,"Thu, 27 Jan 2022 00:00:00",Low
NIPPON INDIA EQUITY SAVINGS FUND - SEGREGATED PORTFOLIO 1 - Direct Plan - IDCW Option,Hybrid Scheme - Equity Savings,Long-Term Schemes,0.2604,"Fri, 25 Oct 2024 00:00:00",Low
UTI Medium Term Fund ( Segregated - 17022020 ) - Direct Plan - Monthly IDCW,Debt Scheme - Medium Duration Fund,Short-Term Schemes,0.2595,"Thu, 27 Jan 2022 00:00:00",Low
NIPPON INDIA EQUITY SAVINGS FUND - SEGREGATED PORTFOLIO 1 - Direct Plan - MONTHLY IDCW Option,Hybrid Scheme - Equity Savings,Long-Term Schemes,0.2566,"Fri, 25 Oct 2024 00:00:00",Low
NIPPON INDIA EQUITY SAVINGS FUND - SEGREGATED PORTFOLIO 1 - Direct Plan - QUARTERLY IDCW Option,Hybrid Scheme - Equity Savings,Long-Term Schemes,0.2564,"Fri, 25 Oct 2024 00:00:00",Low
UTI Medium Term Fund ( Segregated - 17022020 ) - Regular Plan - Monthly IDCW,Debt Scheme - Medium Duration Fund,Short-Term Schemes,0.2515,"Thu, 27 Jan 2022 00:00:00",Low
UTI Medium Term Fund ( Segregated - 17022020 ) - Regular Plan - Flexi IDCW,Debt Scheme - Medium Duration Fund,Short-Term Schemes,0.2488,"Thu, 27 Jan 2022 00:00:00",Low
NIPPON INDIA CREDIT RISK FUND - SEGREGATED PORTFOLIO 1 - Direct Plan - QUARTERLY IDCW Option,Debt Scheme - Credit Risk Fund,Short-Term Schemes,0.2477,"Thu, 27 Jan 2022 00:00:00",Low
NIPPON INDIA EQUITY SAVINGS FUND - SEGREGATED PORTFOLIO 1 - IDCW Option,Hybrid Scheme - Equity Savings,Long-Term Schemes,0.2471,"Fri, 25 Oct 2024 00:00:00",Low
NIPPON INDIA EQUITY SAVINGS FUND - SEGREGATED PORTFOLIO 1 - MONTHLY IDCW Option,Hybrid Scheme - Equity Savings,Long-Term Schemes,0.2437,"Fri, 25 Oct 2024 00:00:00",Low
