Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gains(%),CMP,Current_gains,Total_units,Value
18-11-21,One 97 Paytm,18915.9,2.79,0.24,1.66,2150.0,1955.0,1564.15,-27.25,833.55,-61.23,8.798093023255815,neutral
15-11-21,PB Fintech,6273.5,9.83,2.58,1.67,980.0,1444.0,1202.9,22.74,751.50,-23.32,6.401530612244898,neutral
15-11-21,SJS Enterprises,816.57,1.42,2.32,1.38,542.0,514.0,509.85,-5.93,389.35,-28.16,1.5065867158671589,short term
15-11-21,Sigachi Ind,0.0,42.15,78.82,41.26,163.0,575.0,603.75,270.4,319.70,96.13,0.0,short term
12-11-21,Fino Payments,1209.0,1.65,0.21,5.92,577.0,548.0,545.25,-5.5,310.15,-46.25,2.095320623916811,short term
10-11-21,FSN E-Co Nykaa,5375.0,91.18,112.02,12.24,1125.0,2001.0,2206.7,96.15,"1,399.25",24.38,4.777777777777778,neutral
11-10-21,ABSL AMC,2768.0,4.1,2.6,1.68,712.0,697.5,699.65,-1.73,509.20,-28.48,3.8876404494382024,neutral
01-10-21,Paras Defence,181.13,90.48,435.14,61.42,175.0,475.0,498.75,185.0,654.55,274.03,1.0350285714285714,short term
24-09-21,Sansera Eng,1282.0,26.47,11.37,3.15,744.0,845.05,818.7,10.04,659.90,-11.3,1.7231182795698925,short term
14-09-21,Vijaya Diagnost,1895.04,13.07,1.32,1.09,531.0,542.3,619.3,16.63,434.40,-18.19,3.568813559322034,neutral
14-09-21,AMI Organics,571.96,86.64,154.81,13.36,610.0,902.0,934.55,53.2,912.60,49.61,0.9376393442622951,short term
