Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gains(%),CMP,Current_gains,Total_units,Value
09-05-12,Tribhovandas,210.0,1.29,1.91,0.68,120.0,115.0,111.2,-7.33,70.70,-41.08,1.75,short term
12-04-12,MT Educare,99.0,6.01,8.0,2.17,80.0,86.05,90.35,12.94,9.88,-87.65,1.2375,short term
12-04-12,NBCC (India),127.2,7.07,1.7,3.4,106.0,100.0,6.47,-93.9,41.25,-61.08,1.2,short term
28-03-12,Olympic Cards,25.0,0.0,3.43,1.36,30.0,29.95,28.5,-5.0,4.24,-85.87,0.8333333333333334,short term
09-03-12,MCX India,663.31,49.12,150.35,24.14,1032.0,1387.0,1297.05,25.68,"1,402.35",35.89,0.6427422480620154,short term
02-11-11,Indo Thai Secu,33.6,0.0,0.02,3.31,74.0,76.0,23.0,-68.92,304.00,310.81,0.4540540540540541,short term
24-10-11,Vaswani Ind,49.0,0.16,11.29,6.82,49.0,33.45,17.75,-63.78,22.20,-54.69,1.0,short term
20-10-11,Ujaas Energy,93.0,1.03,1.56,2.35,186.0,180.0,31.76,-82.92,4.75,-97.45,0.5,short term
19-10-11,Taksheel Solut,82.5,0.24,4.7,6.18,150.0,157.4,58.15,-61.23,3.85,-97.43,0.55,short term
19-10-11,Flexituff Ventu,104.63,0.51,1.55,1.55,155.0,155.0,166.4,7.35,27.50,-82.26,0.675032258064516,short term
17-10-11,Onelife Capital,36.85,1.02,0.93,2.32,110.0,115.0,145.9,32.64,14.30,-87.0,0.335,short term
04-10-11,Setubandhan Inf,60.0,0.31,2.76,4.68,138.0,145.0,22.95,-83.37,3.24,-97.65,0.43478260869565216,short term
26-09-11,PG Electroplast,120.65,0.98,1.84,1.64,210.0,200.0,411.65,96.02,644.00,206.67,0.5745238095238095,short term
16-09-11,SRS,227.5,0.74,5.0,0.29,58.0,55.0,16.83,-70.98,0.19,-99.67,3.9224137931034484,long term
08-09-11,TD Power System,227.0,6.52,0.32,0.36,256.0,251.6,274.8,7.34,385.00,50.39,0.88671875,short term
05-09-11,Brooks Labs,63.0,0.0,2.82,3.36,100.0,110.0,50.2,-49.8,88.65,-11.35,0.63,short term
26-08-11,Tree House,112.06,1.02,1.68,2.76,135.0,132.8,116.55,-13.67,10.34,-92.34,0.8300740740740741,short term
12-08-11,L&T Finance,1245.0,1.93,6.18,9.61,52.0,53.85,46.46,-10.65,71.25,37.02,23.942307692307693,neutral
04-08-11,Inventure Grow,81.9,0.25,9.49,8.66,117.0,119.0,5.2,-95.56,4.15,-96.45,0.7000000000000001,short term
28-07-11,Bharatiya Glob,55.1,0.0,1.94,5.06,82.0,84.0,30.95,-62.26,5.20,-93.66,0.6719512195121952,short term
13-07-11,Kridhan Infra,34.75,0.03,1.37,4.18,108.0,115.0,13.29,-87.69,5.86,-94.57,0.32175925925925924,short term
07-07-11,Rushil Decor,40.64,0.23,1.35,6.57,72.0,81.25,104.49,45.12,404.90,462.36,0.5644444444444444,short term
07-07-11,Birla Pacific,65.18,1.04,0.17,1.82,10.0,10.1,25.35,153.5,0.28,-97.2,6.518000000000001,long term
22-06-11,Timbor Home,23.25,0.65,3.22,14.22,63.0,72.0,91.2,44.76,2.21,-96.49,0.36904761904761907,short term
14-06-11,VMS Industries,25.75,0.0,1.11,3.41,40.0,43.95,28.5,-28.75,15.00,-62.5,0.64375,short term
27-05-11,Dr Datson Labs,120.0,0.14,2.65,1.84,234.0,218.0,311.25,33.01,6.29,-97.31,0.5128205128205128,short term
23-05-11,Sanghvi Forging,36.9,0.0,1.82,2.93,85.0,88.0,111.75,31.47,16.50,-80.59,0.4341176470588235,short term
13-05-11,Innoventive Ind,219.58,0.85,1.94,1.48,117.0,110.0,93.6,-20.0,4.20,-96.41,1.876752136752137,short term
12-05-11,Servalakshmi,60.0,0.34,4.21,1.9,29.0,30.0,19.0,-34.48,1.33,-95.41,2.0689655172413794,short term
10-05-11,Future Consumer,750.0,0.26,7.81,0.61,10.0,9.5,8.3,-17.0,6.98,-30.2,75.0,long term
09-05-11,Paramount Print,45.83,0.33,3.28,9.31,35.0,35.0,26.65,-23.86,0.82,-97.66,1.3094285714285714,short term
06-05-11,Muthoot Finance,901.25,25.01,60.94,8.5,175.0,176.45,176.25,0.71,"1,327.10",658.34,5.15,long term
08-04-11,Shilpi Cable,55.88,1.04,6.39,5.74,69.0,78.35,23.8,-65.51,1.10,-98.41,0.8098550724637682,short term
30-03-11,PTC India Fin,438.76,2.85,0.22,1.18,28.0,28.0,24.9,-11.07,17.60,-37.14,15.67,long term
24-03-11,Lovable Lingeri,93.28,21.87,99.87,20.84,205.0,261.5,249.2,21.56,143.30,-30.1,0.45502439024390245,short term
11-03-11,Sudar Ind,69.98,0.17,4.47,2.27,77.0,74.0,113.1,46.88,1.02,-98.68,0.9088311688311689,short term
11-03-11,Fineotex Chem,30.32,0.0,0.22,4.38,70.0,80.0,14.09,-79.87,167.60,139.43,0.43314285714285716,short term
10-03-11,Acropetal Tech,170.0,1.12,2.0,1.21,90.0,130.0,98.45,9.39,1.67,-98.14,1.8888888888888888,short term
10-02-11,Omkar Special,79.38,0.82,5.27,9.9,98.0,95.0,46.2,-52.86,31.75,-67.6,0.8099999999999999,short term
20-01-11,C Mahendra Expo,165.0,1.02,3.92,4.82,110.0,111.0,55.43,-49.61,1.79,-98.37,1.5,short term
30-12-10,Punjab & Sind,480.0,49.8,22.91,8.38,120.0,146.1,127.05,5.87,16.35,-86.38,4.0,long term
23-12-10,A2Z Infra Eng,675.0,0.7,4.25,0.33,400.0,390.0,328.9,-17.78,9.67,-97.58,1.6875,short term
20-12-10,Claris Life,300.0,1.31,2.03,1.6,228.0,224.4,205.85,-9.71,396.55,73.93,1.3157894736842106,short term
15-12-10,MOIL,1260.0,0.0,0.0,0.0,375.0,551.0,233.25,-37.8,176.20,-53.01,3.36,short term
06-12-10,RPP Infra Proj,48.75,0.16,7.27,5.6,75.0,75.0,52.0,-30.67,51.70,-31.07,0.65,short term
16-11-10,Gravita India,45.0,6.04,182.52,37.34,125.0,218.75,42.08,-66.34,371.40,197.12,0.36,short term
04-11-10,Coal India,15475.0,24.7,25.4,2.31,245.0,300.0,342.35,39.73,167.25,-31.73,63.16326530612245,neutral
27-10-10,Prestige Estate,1200.0,4.32,0.24,0.08,183.0,190.0,192.55,5.22,446.00,143.72,6.557377049180328,neutral
27-10-10,BS Limited,197.36,0.52,3.16,1.04,248.0,251.0,18.93,-92.37,0.33,-99.87,0.7958064516129033,short term
27-10-10,Gyscoal Alloys,54.67,1.54,33.44,8.0,71.0,76.6,8.16,-88.51,4.51,-93.65,0.77,short term
20-10-10,Oberoi Realty,1028.61,22.15,3.61,0.94,260.0,280.0,282.95,8.83,892.60,243.31,3.9561923076923073,long term
18-10-10,Commercial Eng,172.41,3.68,0.34,0.38,127.0,122.8,112.25,-11.61,42.60,-66.46,1.3575590551181103,short term
14-10-10,Sea TV Network,50.2,1.66,40.94,7.45,100.0,120.0,106.0,6.0,5.25,-94.75,0.502,short term
14-10-10,Ashoka Buildcon,225.0,25.52,13.91,3.46,324.0,333.55,73.33,-77.37,96.70,-70.15,0.6944444444444444,short term
14-10-10,Bedmutha Ind,91.8,0.67,29.19,8.51,102.0,114.4,180.8,77.25,75.95,-25.54,0.9,short term
13-10-10,Va Tech Wabag,472.6,36.13,100.98,8.55,1310.0,1655.0,341.88,-73.9,318.50,-75.69,0.360763358778626,short term
12-10-10,Cantabil Retail,105.0,1.71,3.83,2.63,135.0,133.8,104.75,-22.41,909.35,573.59,0.7777777777777778,short term
12-10-10,Tecpro Systems,268.03,27.99,62.48,9.07,355.0,399.4,407.85,14.89,4.53,-98.72,0.7550140845070422,short term
08-10-10,Electrosteel St,0.0,5.86,28.58,6.19,11.0,11.15,11.25,2.27,31.05,182.27,0.0,short term
08-10-10,Orient Green,900.0,2.09,0.64,0.18,47.0,45.7,44.9,-4.47,13.35,-71.6,19.148936170212767,long term
08-10-10,Ramky Infra,530.0,4.52,1.45,0.99,450.0,450.0,387.35,-13.92,220.15,-51.08,1.1777777777777778,short term
06-10-10,Career Point,115.0,47.45,101.93,31.74,310.0,461.0,632.35,103.98,117.05,-62.24,0.3709677419354839,short term
06-10-10,Eros Intl,350.0,25.79,73.4,11.95,175.0,213.55,190.05,8.6,27.40,-84.34,2.0,short term
05-10-10,Sasta Sundar,147.5,5.91,35.88,11.04,118.0,135.1,110.9,-6.02,407.00,244.92,1.25,short term
01-10-10,Tirupati Inks,51.5,1.78,23.18,12.59,43.0,53.95,36.65,-14.77,1.59,-96.3,1.197674418604651,short term
29-09-10,Indosolar,357.0,1.44,1.3,1.81,29.0,29.75,23.7,-18.28,4.21,-85.48,12.310344827586206,long term
09-09-10,Gujarat Pipavav,500.0,13.2,85.7,9.15,46.0,56.25,54.05,17.5,92.50,101.09,10.869565217391305,long term
25-08-10,Prakash Steelag,68.75,1.27,10.91,6.62,110.0,118.55,18.8,-82.91,6.31,-94.26,0.625,short term
18-08-10,Bajaj Consumer ,297.0,20.19,53.49,6.62,660.0,730.0,151.65,-77.02,172.75,-73.83,0.45,short term
16-08-10,Bharat Fin,1653.97,20.38,18.26,2.81,985.0,1036.0,1088.58,10.52,898.20,-8.81,1.6791573604060914,short term
28-07-10,Shri Aster,53.1,0.01,12.46,7.41,118.0,127.7,199.1,68.73,1.28,-98.92,0.45,short term
21-07-10,Hindustan Media,270.0,8.98,3.39,1.0,166.0,177.95,189.2,13.98,69.25,-58.28,1.6265060240963856,short term
16-07-10,Technofab Engg,71.76,4.28,48.85,10.03,240.0,265.0,295.65,23.19,6.85,-97.15,0.29900000000000004,short term
